Graph
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
4.650000,0.0000000019,-0.0000000075,0.004800
4.700000,0.0000000019,-0.0000000075,0.004800
4.750000,0.0000000019,-0.0000000075,0.004800
4.800000,0.0000000019,-0.0000000075,0.004800
4.850000,0.0000000019,-0.0000000075,0.004800
4.900001,0.0000000019,-0.0000000075,0.004800
4.950001,0.0000000019,-0.0000000075,0.004800
5.000001,0.0000000019,-0.0000000075,0.004800
5.050001,0.0000000019,-0.0000000075,0.004800
5.100001,0.0000000019,-0.0000000075,0.004800
5.150002,0.0000000019,-0.0000000075,0.004800
5.200002,0.0000000019,-0.0000000075,0.004800
5.250002,0.0000000019,-0.0000000075,0.004800
5.300002,0.0000000019,-0.0000000075,0.004800
5.350002,0.0000000019,-0.0000000075,0.004800
5.400002,0.0000000019,-0.0000000075,0.004800
5.450003,0.0000000019,-0.0000000075,0.004800
5.500003,0.0000000019,-0.0000000075,0.004800
5.550003,0.0000000019,-0.0000000075,0.004800
5.600003,0.0000000019,-0.0000000075,0.004800
5.650003,0.0000000019,-0.0000000075,0.004800
5.700004,0.0000000019,-0.0000000075,0.004800
5.750004,0.0000000019,-0.0000000075,0.004800
5.800004,0.0000000019,-0.0000000075,0.004800
5.850004,0.0000000019,-0.0000000075,0.004800
5.900004,0.0000000019,-0.0000000075,0.004800
5.950005,0.0000000019,-0.0000000075,0.004800
6.000005,0.0000000019,-0.0000000075,0.004800
6.050005,0.0000000019,-0.0000000075,0.004800
6.100005,0.0000000019,-0.0000000075,0.004800
6.150005,0.0000000019,-0.0000000075,0.004800
6.200006,0.0000000019,-0.0000000075,0.004800
6.250006,0.0000000019,-0.0000000075,0.004800
6.300006,0.0000000019,-0.0000000075,0.004800
6.350006,0.0000000019,-0.0000000075,0.004800
6.400006,0.0000000019,-0.0000000075,0.004800
6.450006,0.0000000019,-0.0000000075,0.004800
6.500007,0.0000000019,-0.0000000075,0.004800
6.550007,0.0000000019,-0.0000000075,0.004800
6.600007,0.0000000019,-0.0000000075,0.004800
6.650007,0.0000000019,-0.0000000075,0.004800
6.700007,0.0000000019,-0.0000000075,0.004800
6.750008,0.0000000019,-0.0000000075,0.004800
6.800008,0.0000000019,-0.0000000075,0.004800
6.850008,0.0000000019,-0.0000000075,0.004800
6.900008,0.0000000019,-0.0000000075,0.004800
6.950008,0.0000000019,-0.0000000075,0.004800
7.000009,0.0000000019,-0.0000000075,0.004800
7.050009,0.0000000019,-0.0000000075,0.004800
7.100009,0.0000000019,-0.0000000075,0.004800
7.150009,0.0000000019,-0.0000000075,0.004800
7.200009,0.0000000019,-0.0000000075,0.004800
7.250010,0.0000000019,-0.0000000075,0.004800
7.300010,0.0000000019,-0.0000000075,0.004800
7.350010,0.0000000019,-0.0000000075,0.004800
7.400010,0.0000000019,-0.0000000075,0.004800
7.450010,0.0000000019,-0.0000000075,0.004800
7.500010,0.0000000019,-0.0000000075,0.004800
7.550011,0.0000000019,-0.0000000075,0.004800
7.600011,0.0000000019,-0.0000000075,0.004800
7.650011,0.0000000019,-0.0000000075,0.004800
7.700011,0.0000000019,-0.0000000075,0.004800
7.750011,0.0000000019,-0.0000000075,0.004800
7.800012,0.0000000019,-0.0000000075,0.004800
7.850012,0.0000000019,-0.0000000075,0.004800
7.900012,0.0000000019,-0.0000000075,0.004800
7.950012,0.0000000019,-0.0000000075,0.004800
8.000012,0.0000000019,-0.0000000075,0.004800
8.050013,0.0000000019,-0.0000000075,0.004800
8.100013,0.0000000019,-0.0000000075,0.004800
8.150013,0.0000000019,-0.0000000075,0.004800
8.200013,0.0000000019,-0.0000000075,0.004800
8.250013,0.0000000019,-0.0000000075,0.004800
8.300014,0.0000000019,-0.0000000075,0.004800
8.350014,0.0000000019,-0.0000000075,0.004800
8.400014,0.0000000019,-0.0000000075,0.004800
8.450014,0.0000000019,-0.0000000075,0.004800
8.500014,0.0000000019,-0.0000000075,0.004800
8.550014,0.0000000019,-0.0000000075,0.004800
8.600015,0.0000000019,-0.0000000075,0.004800
8.650015,0.0000000019,-0.0000000075,0.004800
8.700015,0.0000000019,-0.0000000075,0.004800
8.750015,0.0000000019,-0.0000000075,0.004800
8.800015,0.0000000019,-0.0000000075,0.004800
8.850016,0.0000000019,-0.0000000075,0.004800
8.900016,0.0000000019,-0.0000000075,0.004800
8.950016,0.0000000019,-0.0000000075,0.004800
9.000016,0.0000000019,-0.0000000075,0.004800
9.050016,0.0000000019,-0.0000000075,0.004800
9.100017,0.0000000019,-0.0000000075,0.004800
9.150017,0.0000000019,-0.0000000075,0.004800
9.200017,0.0000000019,-0.0000000075,0.004800
9.250017,0.0000000019,-0.0000000075,0.004800
9.300017,0.0000000019,-0.0000000075,0.004800
9.350018,0.0000000019,-0.0000000075,0.004800
9.400018,0.0000000019,-0.0000000075,0.004800
9.450018,0.0000000019,-0.0000000075,0.004800
9.500018,0.0000000019,-0.0000000075,0.004800
9.550018,0.0000000019,-0.0000000075,0.004800
9.600019,0.0000000019,-0.0000000075,0.004800
9.650019,0.0000000019,-0.0000000075,0.004800
9.700019,0.0000000019,-0.0000000075,0.004800
9.750019,0.0000000019,-0.0000000075,0.004800
9.800019,0.0000000019,-0.0000000075,0.004800
9.850019,0.0000000019,-0.0000000075,0.004800
9.900020,0.0000000019,-0.0000000075,0.004800
9.950020,0.0000000019,-0.0000000075,0.004800
10.000020,0.0000000019,-0.0000000075,0.004800
10.050020,0.0000000019,-0.0000000075,0.004800
10.100020,0.0000000019,-0.0000000075,0.004800
10.150021,0.0000000019,-0.0000000075,0.004800
